,text,label
50,pt1 should be shorter than poi2.,1
51,ratigie should be lower than tra6.,1
52,ength should be shorter than thlengt.,1
53,speed1 should be slower than speed4.,1
54,age21 should be younger than age54.,1
55,budget should be lower than t0jZ3.,1
56,height1 should be shorter than height,1
57,volu should be less than the vol23,1
58,izodsz should be lower than cken78.,1
59,scoeam24 should be less than dfe452.,1
60,attendent should be lower than Wxqsd.,1
61,epergine should be less than ine6.,1
62,brightf should be lower than dsrf.,1
63,Tudnt should be lower than thZE12.,1
64,knnel should be fewer than oqm.,1
65,The level of pollution in city1 should be lower than the level of pollution in city4.,1
66,inom1 should be lower than ld6.,1
67,The age of hGF1 should be greater than or equal to the age of g4FC.,2
68,The quantity of supplies 2 should be greater than or equal to the quantity of supplies 90.,2
69,priem4 should be greater than or equal to teeem.,2
70,Thin312 should be greater than or equal to tain476.,2
71,dught82 should be greater than ight.,0
72,The temperature in y1 should be higher than or equal to the temperature in y2.,2
73,The sales of bd should be greater than or equal to the sales of me200.,2
74,ofry3 should surpass or equal he.,2
75,marrr should be faster than or equal to the5.,2
76,tdz1 should be greater than or equal to the number of likes on pdze2.,2
77,score3 should be higher than or equal to score7.,2
78,efk2 should be greater than or equal to efl.,2
79,boza should be greater than or equal to opl2.,2
80,distance3 should be greater than or equal to distance2,2
81,ie1 should be higher than or equal to ze1.,2
82,ng2 should be longer than or equal to g8.,2
83,speed2 should be greater than or equal to speed4.,2
84,erson should be greater than or equal to thgeon.,2
85,oject should exceed or equal ozfk.,2
86,e121 should be greater than or equal to eee092.,2
87,Thner should be greater than or equal to enr3.,2
88,Tye0987 should be higher than or equal to hfrt65.,2
89,Theam45 should be greater than or equal to hdz8.,2
90,ateve should be higher than or equal to mrgl876.,2
91,dz567 should be greater than or equal to nfehy976.,2
92,D8JU should be greater than or equal to tght02.,2
93,zfk should be higher than or equal to v32.,2
94,bers should be higher than or equal to vel.,2
95,The level of pollution in fkj should be greater than or equal to the level of pollution in ad4.,2
96,cTz1 should be higher than or equal to oiu.,2
97,The age of R6T should not be the same as the age of t3s3.,5
98,dsk2 should not be equal to the quantity7.,5
99,kfeh should not be equal to czl.,5
100,hn234 should not be equal to sfhjn78.,5
101,sedcght should not be equal to deigt60.,5
102,The weight of object1 should be less than the weight of object3.,1
103,The length of road9 should be shorter than the length of road4.,1
104,The age of child6 should be younger than the age of child2.,1
105,eam should be lower than teassz.,1
106,The height of building1 should be shorter than the height of building3.,1
107,cosm23 should be cheaper than lvdm49.,1
108,The quantity of apples in basket1 should be less than the quantity of oranges in basket2.,1
109,The speed of Runner1 should be slower than the speed of Runner2.,1
110,amA should be lower than asfe.,1
111,The capacity of Tank1 should be smaller than the capacity of Tank2.,1
112,ild90 should be less than hiop53.,1
113,The weight of ParcelA should be lighter than the weight of ParcelB.,1
114,heofTr should be shorter than ree2.,1
115,The diameter of CircleA should be smaller than the diameter of CircleB.,1
116,nt1 should be lower than qdt2.,1
117,The value of StockA should be less than the value of StockB.,1
118,The acidity of Solution1 should be lower than the acidity of Solution2.,1
119,The magnitude of Earthquake1 should be smaller than the magnitude of Earthquake2.,1
120,durationA should be shorter than durationB.,1
121,The temperature in Room1 should be cooler than the temperature in Room2.,1
122,The height of BuildingA should be less than the height of BuildingB.,1
123,The population of VSF51 should be smaller than the population of OPZM.,1
124,The resistance of Resistor1 should be lower than the resistance of Resistor2.,1
125,The length of RoadA should be shorter than the length of RoadB.,1
126,The speed of R1 should be slower than or equal to the speed of R2.,3
127,The score of TA should be lower than or equal to the score of TB.,3
128,The capacity of T1 should be smaller than or equal to the capacity of T2.,3
129,The age of Clvrl1 should be less than or equal to the age of mlbrmt2.,3
130,The weight of PA should be lighter than or equal to the weight of PB.,3
131,The height of tlm1 should be shorter than or equal to the height of ze2.,3
132,The diameter of CA should be smaller than or equal to the diameter of CB.,3
133,The IQ score of S1 should be lower than or equal to the IQ score of S2.,3
134,The value of SA should be less than or equal to the value of SB.,3
135,The acidity of S1 should be lower than or equal to the acidity of S2.,3
136,The magnitude of E1 should be smaller than or equal to the magnitude of E2.,3
137,The duration of SA should be shorter than or equal to the duration of SB.,3
138,The temperature in vlpon1 should be cooler than or equal to the temperature in l2.,3
139,The height of BA should be less than or equal to the height of BB.,3
140,The population of Cd1 should be smaller than or equal to the population of rtC2.,3
141,The resistance of Rk99 should be lower than or equal to the resistance of PPP9083.,3
142,The length of RA should be shorter than or equal to the length of RB.,3
143,kel123 should be slower than or equal to mvpr23.,3
144,mefl673 should be shorter than or equal to nmtk.,3
145,ohkto should be smaller than or equal to nptl.,3
146,thpl should be smaller than or equal to rlp.,3
147,rplph should be less than or equal to yojkok.,3
148,rgl should be lower than or equal to LKOKP.,3
149,lrpM should be smaller than or equal to PK.,3
150,PLFPm should be cooler than or equal to mr.,3
151,melg should be shorter than or equal to thl.,3
152,ppvppr should be less than or equal to pmr.,3
153,S90 should be lower than or equal to S2939.,3
154,kvi should be shorter than or equal to vkee.,3
155,C7723 should be smaller than or equal to C394.,3
156,NJ991 should be lighter than or equal to B233.,3
157,J1 should be smaller than or equal to J2.,3
158,R1 should be smaller than or equal to R2.,3
159,MLLE should be lower than or equal to LLMs.,3
160,oPPsm should be lower than or equal to vKjdl.,3
161,eprlf should be smaller than or equal to pzpf.,3
162,perl should be lower than or equal to pzrfpl.,3
163,flepl should be less than or equal to ceplp.,3
164,C1 should be lower than or equal to effe.,3
165,ERplpe should be shorter than or equal to fece.,3
166,PFEd2 should be smaller than or equal to mPlD.,3
167,lfkelk should be smaller than or equal to mpeml.,3
168,The speed of Vehicle1 should be faster than or equal to the speed of Vehicle2.,2
169,The length of Line1 should be longer than or equal to the length of Line2.,2
170,The cost of xvc14 should be higher than or equal to the cost of nz2.,2
171,The power of Generator1 should be greater than or equal to the power of Generator2.,2
172,Thox1 should be larger than or equal to tsz2.,2
173,The depth of Ocean1 should be greater than or equal to the depth of Ocean2.,2
174,Te should be higher than or equal to th02.,2
175,The width of Widget1 should be larger than or equal to the width of Widget2.,2
176,The temperature of Area1 should be warmer than or equal to the temperature of Area2.,2
177,The length of Highway1 should be longer than or equal to the length of Highway2.,2
178,The age of Device1 should be greater than or equal to the age of Device2.,2
179,The price of Service1 should be higher than or equal to the price of Service2.,2
180,The height of Tower1 should be taller than or equal to the height of Tower2.,2
181,capacity23 should be greater than or equal to the capacity212.,2
182,The weight of Bag1 should be heavier than or equal to the weight of Bag2.,2
183,The volume of Jar1 should be larger than or equal to the volume of Jar2.,2
184,The diameter of Ring1 should be larger than or equal to the diameter of Ring2.,2
185,The score of Exam1 should be higher than or equal to the score of Exam2.,2
186,The level of Game1 should be higher than or equal to the level of Game2.,2
187,The thickness of Panel1 should be larger than or equal to the thickness of Panel2.,2
188,Tgh should be higher than or equal to nlmg.,2
189,Hdtem09 should be greater than or equal to sfe652.,2
190,The efficiency of Component1 should be higher than or equal to the efficiency of Component2.,2
191,Aea1 should be longer than or equal to rea2.,2
192,The count of Sample1 should be greater than or equal to the count of Sample2.,2
193,The area of Region1 should be larger than or equal to the area of Region2.,2
194,The age of C9R6T should be less than or equal to the age of cT7f.,3
195,The cost of Pen5 should be lower than or equal to the cost of Pen9.,3
196,The size of Cup2 should be smaller than or equal to the size of Cup7.,3
197,The weight of Hat4 should be lighter than or equal to the weight of Hat6.,3
198,The count of Gem7 should be smaller than or equal to the count of Gem10.,3
199,The speed of Velocity3 should be faster than the speed of Velocity7.,0
200,The length of LineSegment5 should be longer than the length of LineSegment9.,0
201,Nem32 should be higher than Df6.,0
202,The power of GeneratorUnit4 should be greater than the power of GeneratorUnit8.,0
203,Thaine should be larger than egjo12.,0
204,Ocean344depth should be greater than Ocean5depth.,0
205,efie should be higher than tzf.,0
206,Widget2Thidth should be larger than of Widget6wth.,0
207,The temperature of Zone4 should be warmer than the temperature of Zone9.,0
208,lenhighway should be longer than ofghway.,0
209,Tice65 should be greater than ce0610.,0
210,priervice34 should be higher than vice99.,0
211,Thr36 should be taller than wer12.,0
212,The capacity of Storage3 should be greater than the capacity of Storage7.,0
213,hBg5 should be heavier than tag8.,0
214,kzfg should be larger than vnzlk.,0
215,Thng2 should be larger than sng4.,0
216,hsm3 should be higher than sxam90.,0
217,Te34 should be higher than sme8.,0
218,thinesel2 should be larger than hickofl5.,0
219,gefs should be higher than jean.,0
220,obel74 should be greater than jel6.,0
221,efficit64 should be higher than ponent.,0
222,Location2 should be longer than Location4.,0
223,hec3 should be greater than le56.,0
224,aregion46 should be larger than efgion35.,0
225,The age of sat4 should be less than the age of rjkg.,1
226,Toop should be lower than cosz.,1
227,sizCup56 should be smaller than sup.,1
228,hdat should be lighter than eelmcper9.,1
229,coem4 should be smaller than mep66.,1
230,CVheng3 should be taller than pbg6.,0
231,caank should be greater than theca,0
232,The speed of Vel3 should be equal to the speed of Vel7.,4
233,The length of Lin5 should be equal to the length of Lin9.,4
234,The cost of Itm2 should be equal to the cost of Itm6.,4
235,The power of Gen4 should be equal to the power of Gen8.,4
236,The size of Cnt6 should be equal to the size of Cnt11.,4
237,The depth of Ocn2 should be equal to the depth of Ocn5.,4
238,The rating of Mov3 should be equal to the rating of Mov7.,4
239,The width of Wid2 should be equal to the width of Wid6.,4
240,The temperature of Zon4 should be equal to the temperature of Zon9.,4
241,The length of Hwy3 should be equal to the length of Hwy6.,4
242,The age of Dev5 should be equal to the age of Dev10.,4
243,The price of Srv4 should be equal to the price of Srv9.,4
244,The height of Twr6 should be equal to the height of Twr12.,4
245,The capacity of Sto3 should be equal to the capacity of Sto7.,4
246,The weight of Bg5 should be equal to the weight of Bg8.,4
247,The volume of Cnt4 should be equal to the volume of Cnt9.,4
248,The diameter of Rng2 should be equal to the diameter of Rng4.,4
249,The score of Exm3 should be equal to the score of Exm6.,4
250,The level of Gme4 should be equal to the level of Gme8.,4
251,The thickness of Pnl2 should be equal to the thickness of Pnl5.,4
252,The intensity of Lgt3 should be equal to the intensity of Lgt7.,4
253,The value of Itm3 should be equal to the value of Itm6.,4
254,The efficiency of Cmp4 should be equal to the efficiency of Cmp9.,4
255,Lct2 should be equal to Lct4.,4
256,The count of Smp3 should be equal to the count of Smp6.,4
257,The area of Reg2 should be equal to the area of Reg5.,4
258,The age of usn should be equal to the age of smfl87.,4
259,pmpmedp should be equal to zedsz8.,4
260,Tup03 should be equal to scp6.,4
261,zdtdclp should be equal to eflvplpr99665.,4
262,vjjf should be equal to oem.,4
263,The height of Bld3 should be equal to the height of Bld6.,4
264,The capacity of Tnk2 should be equal to the capacity of Tnk4.,4
265,V1 should be equal to V3.,4
266,L1 should be equal to L4.,4
267,P2 should be equal to P5.,4
268,G3 should be equal to G6.,4
269,B2 should be equal to B4.,4
270,O2 should be equal to O5.,4
271,M1 should be equal to M3.,4
272,W2 should be equal to W4.,4
273,A3 should be equal to A6.,4
274,H2 should be equal to H5.,4
275,D3 should be equal to D6.,4
276,S2 should be equal to S5.,4
277,T2 should be equal to T4.,4
278,C1 should be equal to C3.,4
279,B1 should be equal to B3.,4
280,The speed of Olivia should not be equal to the speed of Victor.,5
281,The length of Lillian should not be equal to the length of Nathan.,5
282,The cost of Isabella should not be equal to the cost of Harper.,5
283,The power of Sophia should not be equal to the power of Daniel.,5
284,The size of Carlos should not be equal to the size of George.,5
285,The depth of Oliver should not be equal to the depth of Xavier.,5
286,The rating of Morgan should not be equal to the rating of Olia.,5
287,The width of Willow should not be equal to the width of Stella.,5
288,The temperature of Zoey should not be equal to the temperature of Nicole.,5
289,The length of Hazel should not be equal to the length of Sydney.,5
290,The age of Slla should not be equal to the age of Peyton.,5
291,The price of Samuel should not be equal to the price of Andrew.,5
292,The height of Taylor should not be equal to the height of Jordan.,5
293,The capacity of Syey should not be equal to the capacity of Talor.,5
294,The weight of Blake should not be equal to the weight of Gavin.,5
295,The volume of Chloe should not be equal to the volume of Hannah.,5
296,The diameter of Riley should not be equal to the diameter of Ethan.,5
297,The score of Emma should not be equal to the score of Isaac.,5
298,The level of Grace should not be equal to the level of Megan.,5
299,The thickness of Ean should not be equal to the thickness of ac.,5
300,The intensity of Lucas should not be equal to the intensity of ace34.,5
301,The value of saampl should not be equal to the value of Arew.,5
302,The efficiency of Caleb should not be equal to the efficiency of than.,5
303,Lily should not be equal to jeah.,5
304,The count of ophia should not be equal to the count of Emily.,5
305,The area of ivia should not be equal to the area of aniel.,5
306,The age of Mason should not be equal to the age of Aiden.,5
307,The cost of Penny should not be equal to the cost of tezn.,5
308,The size of Cooper should not be equal to the size of Jasper.,5
309,The weight of Hper should not be equal to the weight of E5an.,5
310,The count of Gemma should not be equal to the count of la.,5
311,The height of Bella should not be equal to the height of pd67an.,5
312,The capacity of Tyler should not be equal to the capacity of Henry.,5
313,tuia should not be equal to Ophelia.,5
314,ily should not be equal to Lauren.,5
315,Parker should not be equal to Piper.,5
316,Gan should not be equal to Grayson.,5
317,Brian should not be equal to Brady.,5
318,Ola should not be equal to Olier.,5
319,son7 should not be equal to Matthew.,5
320,Wyatt should not be equal to Warren.,5
321,Audrey should not be equal to Aurora.,5
322,Dylan should not be equal to Diel.,5
323,Sarah should not be equal to Skylar.,5
324,The separation between point1 and point 3 should not equal the separation between point8 and point9.,11
325,The gap from location1 to location2 must not match the gap from location4 to location8.,11
326,The interval between checkpoint2 and checkpoint1 ought to differ from the interval between checkpoint9 and checkpoint19.,11
327,The space separating spot1 and spot2 should not mirror the space separating spot3 and spot2.,11
328,The span between node9 and node 7 must contrast with the span between node88 and node 7.,11
329,The distance from destination 1 to destination 2 should not replicate the distance from destination 3 to destination 4.,11
330,The measure of separation between  pt1 and  pot2 should deviate from the measure of separation between  ppmoint9 and  poide10.,11
331,The length between landmark3 and landmark4 must be dissimilar to the length between landmark5 and landmark99.,11
332,The gap between position 3 and position 8 should not resemble the gap between position 9 and position 10.,11
333,The difference in distance between aB3v and qRt8fF should be distinct from the difference in distance between k2Lm and pN9e.,11
334,The extent of separation between lighthouse and eclipse should contrast with the extent of separation between cascade23 and stardust567.,11
335,The discrepancy between the gap from coej 32 to chint 2 and the gap from cent 4 to cheoint 9 should be noticeable.,11
336,The divergence in length between nt 2 and pnt 3 and the divergence in length between pkglot 1 and poir 3 should be discernible.,11
337,The dissimilarity in distance between x9Ab and m2Rc and the dissimilarity in distance between t3Fd and q8Ef should be apparent.,11
338,The distance between wX4j and v3TgFQ must be different from the distance between d8Wq and y9Kp.,11
339,The separation from loion6 to xzxcezed863JHion11 should not equal the separation from locao to lce23ion 17.,11
340,The interval between dkekj and dzkdot5 ought to contrast with the interval between vleplkp and lvzrlo.,11
341,The space separating moonlight9 and galaxy15 should not match the space separating wanderlust6 and sundown15.,11
342,The span between dsz2 and Y98pqr must differ from the span between A72cd and Y98pqr.,11
343,The distance from XY78 to abcd should not be equal to the distance from pq2 to LMN.,11
344,The measure of separation between  err 13 and  int 5 should deviate from the measure of separation between  pfeer 16 and  plfm 9.,11
345,The length between s1Gh and p5Tk should be distinct from the length between r6Ly and w4Mz.,11
346,The gap between xHj2 and aB1L must not equal the gap between yTg67 and Zm8e.,11
347,The difference in distance between m6Hf and iV2lDj should be noticeable compared to the difference in distance between p7Nk and o1Sx.,11
348,The extent of separation between supernova13 and cosmos6 should contrast with the extent of separation between infinity9 and equinox17.,11
349,The discrepancy between the gap from cheHENDGit11 to OSKJoint4 and the gap from csint7 to ccdlint14 should be discernible.,11
350,The divergence in length between poedfint6 and pmoit9 should be apparent compared to the divergence in length between poigtt2 and poinjju9.,11
351,The dissimilarity in distance between u7Na and y9Px should be distinguishable from the dissimilarity in distance between t2Qb and v6Re.,11
352,The variation in separation between quasar11 and celestial8 should be evident compared to the variation in separation between nebula6 and firefly14.,11
353,The contrast in interval between Lm19 and G13a should be noticeable compared to the contrast in interval between Kp10b and S25q.,11
354,The discrepancy between the length from rtyt52 to rnrt13 and the length from trint8 to fhtnt2 should be observable.,11
355,The difference in distance between XG4T9 and PL72Q should be apparent compared to the difference in distance between R3J8F and YU91Z.,11
356,The distance between l9CmF and r2EwO must be greater than the distance between uP3z and fT7n.,6
357,The separation from loca to ation 3 should be greater than the separation from loon to ocek.,6
358,The interval between KT16W and MN5X7 ought to be greater than the interval between P9L2F and BQ3A7.,6
359,The space separating infinity9 and equator15 should exceed the space separating nebula6 and firefly15.,6
360,The span between qbu2 and vr98 must be greater than the span between A72cd and pqr.,6
361,The distance from Zz1xY2 to r44tD6 should be greater than the distance from m89k to BcP.,6
362,The measure of separation between  pdvint 13 and  pontt 5 should be greater than the measure of separation between  pbnt 16 and  poitrt 9.,6
363,The length between s1Sm and p5Un should be greater than the length between r6Vo and w4Wq.,6
364,The gap between Xa1c and D9bV must be greater than the gap between Hr5e and fJ2q.,6
365,The difference in distance between gJ4a and hS9kXp should be greater than the difference in distance between e5Bq and zL1f.,6
366,The discrepancy between the gap from HW8R4 to LK2J1 and the gap from TR5E6 to VD7F2 should be discernible.,11
367,The divergence in length between rrtnt 6 and pillnt 9 should be greater than the divergence in length between poipmmlt 2 and pilont 9.,6
368,The dissimilarity in distance between u7Yt and y9Zv should be greater than the dissimilarity in distance between t2Xw and v6Cf.,6
369,The variation in separation between quasar11 and celestial8 should be greater than the variation in separation between nebula6 and firefly14.,6
370,The contrast in interval between bbf19 and G13a should be greater than the contrast in interval between p10b and S25.,6
371,The difference in distance between ZP3K9 and XY78Q should be greater than the difference in distance between JG6T9 and PL4A7.,6
372,The distance between c6On and xY2mF must be greater than or equal to the distance between aD9p and wR4s.,8
373,The separation from ebvi to bnrkj should be greater than or equal to the separation from vekjj 93 to veoo56.,8
374,The interval between Lumin and Zypher ought to be greater than or equal to the interval between Blaze and Gale.,8
375,The space separating infinity9 and equator15 should be greater than or equal to the space separating nebula6 and firefly15.,8
376,The distance from PqR23 to Dd7Sd should be greater than or equal to the distance from yXc to 22ddG.,8
377,The measure of separation between  KDH 13 and  pFnt 5 should be greater than or equal to the measure of separation between  ERFnt 16 and  poVRF 9.,8
378,The length between s1Bg and p5Dh should be greater than or equal to the length between r6Ej and w4Fk.,8
379,The gap between cKl3 and Rf7o must be greater than or equal to the gap between M6nG and Yp2j.,8
380,The difference in distance between nT7v and k3MwGq should be greater than or equal to the difference in distance between bA2f and oZ5l.,8
381,The discrepancy between the gap from Astra to Nova and the gap from Cosmo to Luna should be discernible.,11
382,The dissimilarity in distance between u7Gi and y9Hm should be greater than or equal to the dissimilarity in distance between t2In and v6Jo.,8
383,The variation in separation between quasar11 and celestial8 should be greater than or equal to the variation in separation between nebula6 and firefly14.,8
384,The contrast in interval between cvo and G13a should be greater than or equal to the contrast in interval between Kp10 and fv25q.,8
385,The difference in distance between Neon and Electron should be greater than or equal to the difference in distance between Quasar and Galaxy.,8
386,The distance between sP8d and tL1jQ must be less than the distance between r6Vf and hC9x.,7
387,The separation from ckek9 to lsion ed should be less than the separation from loczd67 to cdk.,7
388,The interval between Solstice and Equinox ought to be less than the interval between Nimbus and Thunder.,7
389,The space separating infinity9 and equator15 should be less than the space separating nebula6 and firefly15.,7
390,The distance from K4lm to x99PpQ should be less than the distance from D1qwer to Zz9kpo.,7
391,The measure of separation between  VBRD 13 and  NRLFt 5 should be less than the measure of separation between  poVER 16 and  VRFR 9.,7
392,The length between s1Kp and p5Lq should be less than the length between r6Ms and w4Nt.,7
393,The gap between tF4w and P9zB must be less than the gap between Kq2d and lV7m.,7
394,The difference in distance between yS2p and dN5mR should be less than the difference in distance between f7Wk and mB4u.,7
395,The discrepancy between the gap from Abyss to Aether and the gap from Flare to Radiance should be noticeable.,11
396,The divergence in length between VRst 6 and pGT 9 should be less than the divergence in length between NFHl 2 and LKoR 9.,7
397,The dissimilarity in distance between u7Pu and y9Rv should be less than the dissimilarity in distance between t2Sx and v6Uy.,7
398,The variation in separation between xy45 and qwe8 should be less than the variation in separation between abcd6 and z12345.,7
399,The contrast in interval between lce and G13a should be less than the contrast in interval between K10b and vrq.,7
400,The discrepancy between the length from VRet 5 to Njnt 13 and the length from tOlp 18 to LMDc 2 should be observable.,11
401,The distance between e9Go and jH3zP must be less than or equal to the distance between tQ1y and gV6w.,9
402,The separation from location 6 to location 11 should be less than or equal to the separation from location 3 to location 17.,9
403,The interval between Eclipse and Twilight ought to be less than or equal to the interval between Dawn and Dusk.,9
404,The space separating mn9 and 987pq15 should be less than or equal to the space separating xyz6 and 1234lmn15.,9
405,The span between X1z2 and spqr must be less than or equal to the span between A72cd and bj836Yr.,9
406,The distance from f45G to hD0e4s should be less than or equal to the distance from w2q to Yy66R.,9
407,The measure of separation between  Vc 13 and  EIRL should be less than or equal to the measure of separation between  pdd345 16 and  OCIR9.,9
408,The length between s1Vz and p5Aw should be less than or equal to the length between r6Bx and w4Cy.,9
409,The gap between w6yE and S1xN must be less than or equal to the gap between G8aP and iO3h.,9
410,The difference in distance between iF5s and zX2rG should be less than or equal to the difference in distance between cL7n and bK4t.,9
411,The extent of separation between rstuvw13 and 456xy6 should be less than or equal to the extent of separation between a1b2c3d9 and efghij17.,9
412,The discrepancy between the gap from Mystic to Enigma and the gap from Harmony to Chaos should be noticeable.,11
413,The divergence in length between KEO 6 and PLDtS 9 should be less than or equal to the divergence in length between oiR 2 and ENdF 9.,9
414,The dissimilarity in distance between u7Dz and y9Fx should be less than or equal to the dissimilarity in distance between t2Gy and v6Hz.,9
415,The variation in separation between lmno11 and 7890efg8 should be less than or equal to the variation in separation between pqrst6 and hijklm14.,9
416,The contrast in interval between vti13 and G13a should be less than or equal to the contrast in interval between s10b and odl.,9
417,The discrepancy between the length from OEHH 5 to NCVE 13 and the length from FJJE 18 to nerf 2 should be observable.,11
418,The difference in distance between Infinity and Eternity should be less than or equal to the difference in distance between Zephyr and Tempest.,9
419,The spatial interval connecting EK Alpha and PoiBravo must not mirror the spatial interval connecting oarlie and ontta.,11
420,The physical gap between Structure A and Structure B must diverge from the physical gap between Structure C and Structure D.,11
421,The disparity in distance separating plyjatce from House 1 should not coincide with the disparity in distance separating Rtb from House 3.,11
422,The spatial distinction between tulu and ankee must be dissimilar to the spatial distinction between ngo and goxtrot.,11
423,The separation in distance linking v7kL and Q3bS must contrast with the separation in distance linking Uc2Z and Lp5e.,11
424,The gap between Locale Omega and Locale Kappa ought to vary from the gap between Locale Mike and Locale November.,11
425,The spatial differentiation between Site Quebec and Site Sierra should deviate from the spatial differentiation between Site Uniform and Site Victor.,11
426,The disparity in distance separating Place Golf from Dwelling 2 should not resemble the disparity in distance separating Place Lima from Dwelling 4.,11
427,The spatial interval connecting Zone Papa and Zone Oscar must differ from the spatial interval connecting Zone Romeo and Zone Sierra.,11
428,The separation in distance linking Venue Delta and Residence 1 should contrast with the separation in distance linking Venue Forot and Residence 3.,11
429,The distinction in distance separating  Charlie from PA must not mirror the distinction in distance separating  Bravo from IoC.,11
430,The disparity in distance separating bb65 from H8 should coincide with the disparity in distance separating W6 from M9.,10
431,The spatial distinction between xclu and Pcdkee must not deviate from the spatial distinction between Tan23 and incvedt.,10
432,The separation in distance linking N9gT and dF8r should match the separation in distance linking Tm6u and Cn4i.,10
433,The gap between sc13cga and Locapa ought to be the same as the gap between Loca3442e and F4cember.,10
434,The spatial differentiation between Sibec and xedrra should equal the spatial differentiation between PLI9orm and r13or.,10
435,The disparity in distance separating Plalf from Dwelling 2 should resemble the disparity in distance separating eLima from Dwelling 4.,10
436,The spatial interval connecting onV6apa and X2car must be equal to the spatial interval connecting A2omeo and B4Sra.,10
437,The separation in distance linking Venta and Residence 1 should match the separation in distance linking okotrot and Residence 3.,10
438,The distinction in distance separating Locaarlie from Poz DE must mirror the distinction in distance separating xravo from ZFC.,10
439,The spatial interval connecting Point ERDha and cvbBvo must equal the spatial interval connecting trlie and lta.,10
440,The physical gap between thtruA and SreB must be equal to the physical gap between ureCdee and eD.,10
441,The disparity in distance separating  rer from House 1 should coincide with the disparity in distance separating  W from House 3.,10
442,The spatial distinction between Point ocepu and cevfkee must not deviate from the spatial distinction between nTGo 32 and o23t.,10
443,The separation in distance linking Z2vX and jK5p should match the separation in distance linking Xh1Y and R6sB.,10
444,The gap between cjejr and ceoOSK2 ought to be the same as the gap between C0OEDke and vOD89.,10
445,The spatial differentiation between 9JTc and NGii7ra should equal the spatial differentiation between NYFTF8orm and 0LKUPM.,10
446,The disparity in distance separating xlaslf from Dwelling 2 should resemble the disparity in distance separating lsizma from Dwelling 4.,10
447,The spatial interval connecting cefk24 and vnscar must be equal to the spatial interval connecting 7Wkmeo and merra.,10
448,The distinction in distance separating  Che from OnvA must mirror the distinction in distance separating  avo from ce23C.,10
449,The separation between House 1 and lkrglk needs to be equal to the separation between fe and W.,10
450,The spatial interval connecting pxha and oij must equal the spatial interval connecting Cchfh and De90.,10
451,The physical gap between tdx12A and deurB must be equal to the physical gap between SteCfed and ezeD.,10
452,The spatial distinction between Point Zulu and Point Yankee must not deviate from the spatial distinction between Point Tango and Point Foxtrot.,10
453,The separation in distance linking E3yA and Y4tO should match the separation in distance linking hW7z and Bq2m.,10
454,The gap between FFFVa and Lof33 ought to be the same as the gap between FFJ7890 and VLOE54.,10
455,The distance between A and B should be less than the distance between Cde and D.,7
456,The spatial interval connecting Pa and Poio must be less than the spatial interval connecting lie and a.,7
457,The physical gap between e13 and z must be less than the physical gap between v and d.,7
458,The disparity in distance separating fs0 from u 1 should be less than the disparity in distance separating c97 from z24.,7
459,The spatial distinction between Plu and Pe must not exceed the spatial distinction between o and rot.,11
460,The separation in distance linking Position ho and el should be less than the separation in distance linking ia and Po.,7
461,The gap between ga and pa ought to be smaller than the gap between ike and mber.,7
