,problem,problem_entities
10,The separation between ZxYbRa and bK8T4 should equal 7.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 29, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""ZxYbRa""}, {""start"": 29, ""end"": 33, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 34, ""end"": 39, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""bK8T4""}, {""start"": 39, ""end"": 46, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 47, ""end"": 52, ""type"": ""DisteqValue"", ""entity"": ""equal""}, {""start"": 53, ""end"": 54, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 54, ""end"": 54, ""type"": ""DESC"", ""entity"": "".""}]"
11,The gap from loc4 to ls2 must match 9.,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 17, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""loc4""}, {""start"": 17, ""end"": 20, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 21, ""end"": 24, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""ls2""}, {""start"": 24, ""end"": 29, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 30, ""end"": 35, ""type"": ""DisteqValue"", ""entity"": ""match""}, {""start"": 36, ""end"": 37, ""type"": ""Parameter"", ""entity"": ""9""}, {""start"": 37, ""end"": 37, ""type"": ""DESC"", ""entity"": "".""}]"
12,The gap between UK8763 and plcekion8 should equal 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 22, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""UK8763""}, {""start"": 22, ""end"": 26, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 27, ""end"": 36, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""plcekion8""}, {""start"": 36, ""end"": 43, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 44, ""end"": 49, ""type"": ""DisteqValue"", ""entity"": ""equal""}, {""start"": 50, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
13,The measure of separation between vex and rtex must be 45.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 37, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""vex""}, {""start"": 37, ""end"": 41, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 42, ""end"": 46, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""rtex""}, {""start"": 47, ""end"": 54, ""type"": ""DisteqValue"", ""entity"": ""must be""}, {""start"": 55, ""end"": 57, ""type"": ""Parameter"", ""entity"": ""45""}, {""start"": 57, ""end"": 57, ""type"": ""DESC"", ""entity"": "".""}]"
14,The duration from event1 to event3 should equal 7 hours.,"[{""start"": 0, ""end"": 17, ""type"": ""DESC"", ""entity"": ""The duration from""}, {""start"": 18, ""end"": 24, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""event1""}, {""start"": 24, ""end"": 27, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 28, ""end"": 34, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""event3""}, {""start"": 34, ""end"": 41, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 42, ""end"": 47, ""type"": ""DisteqValue"", ""entity"": ""equal""}, {""start"": 48, ""end"": 49, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 49, ""end"": 55, ""type"": ""DESC"", ""entity"": "" hours.""}]"
15,The gap between cityA and cityB must match a distance of 50 kilometers.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 21, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""cityA""}, {""start"": 21, ""end"": 25, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 26, ""end"": 31, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""cityB""}, {""start"": 31, ""end"": 36, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 37, ""end"": 42, ""type"": ""DisteqValue"", ""entity"": ""match""}, {""start"": 42, ""end"": 56, ""type"": ""DESC"", ""entity"": "" a distance of""}, {""start"": 57, ""end"": 59, ""type"": ""Parameter"", ""entity"": ""50""}, {""start"": 59, ""end"": 70, ""type"": ""DESC"", ""entity"": "" kilometers.""}]"
16,The measure of separation between objectA and objectB should equal 5 units.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 41, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""objectA""}, {""start"": 41, ""end"": 45, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 46, ""end"": 53, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""objectB""}, {""start"": 53, ""end"": 60, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 61, ""end"": 66, ""type"": ""DisteqValue"", ""entity"": ""equal""}, {""start"": 67, ""end"": 68, ""type"": ""Parameter"", ""entity"": ""5""}, {""start"": 68, ""end"": 74, ""type"": ""DESC"", ""entity"": "" units.""}]"
17,The length between destinationX and destinationY must be exactly 100 meters.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 31, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""destinationX""}, {""start"": 31, ""end"": 35, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 36, ""end"": 48, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""destinationY""}, {""start"": 48, ""end"": 53, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 54, ""end"": 64, ""type"": ""DisteqValue"", ""entity"": ""be exactly""}, {""start"": 65, ""end"": 68, ""type"": ""Parameter"", ""entity"": ""100""}, {""start"": 68, ""end"": 75, ""type"": ""DESC"", ""entity"": "" meters.""}]"
18,The gap between index3 and index9 should equal 6.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 22, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""index3""}, {""start"": 22, ""end"": 26, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 27, ""end"": 33, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""index9""}, {""start"": 33, ""end"": 40, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 41, ""end"": 46, ""type"": ""DisteqValue"", ""entity"": ""equal""}, {""start"": 47, ""end"": 48, ""type"": ""Parameter"", ""entity"": ""6""}, {""start"": 48, ""end"": 48, ""type"": ""DESC"", ""entity"": "".""}]"
19,The distance between station1 and station2 should be identical to 2 miles.,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The distance between""}, {""start"": 21, ""end"": 29, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""station1""}, {""start"": 29, ""end"": 33, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 34, ""end"": 42, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""station2""}, {""start"": 42, ""end"": 49, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 50, ""end"": 65, ""type"": ""DisteqValue"", ""entity"": ""be identical to""}, {""start"": 66, ""end"": 67, ""type"": ""Parameter"", ""entity"": ""2""}, {""start"": 67, ""end"": 73, ""type"": ""DESC"", ""entity"": "" miles.""}]"
20,The gap from JJJ to AZ must be less than 9.,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 16, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""JJJ""}, {""start"": 16, ""end"": 19, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 20, ""end"": 22, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""AZ""}, {""start"": 22, ""end"": 30, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 31, ""end"": 40, ""type"": ""DistltValue"", ""entity"": ""less than""}, {""start"": 41, ""end"": 42, ""type"": ""Parameter"", ""entity"": ""9""}, {""start"": 42, ""end"": 42, ""type"": ""DESC"", ""entity"": "".""}]"
21,The gap between OExc and 9LKHvc should be less than 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 20, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""OExc""}, {""start"": 20, ""end"": 24, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 25, ""end"": 31, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""9LKHvc""}, {""start"": 31, ""end"": 41, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 42, ""end"": 51, ""type"": ""DistltValue"", ""entity"": ""less than""}, {""start"": 52, ""end"": 54, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 54, ""end"": 54, ""type"": ""DESC"", ""entity"": "".""}]"
22,The measure of separation between DFGVE5 and dfvv must be less than 453.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 40, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""DFGVE5""}, {""start"": 40, ""end"": 44, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 45, ""end"": 49, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""dfvv""}, {""start"": 49, ""end"": 57, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 58, ""end"": 67, ""type"": ""DistltValue"", ""entity"": ""less than""}, {""start"": 68, ""end"": 71, ""type"": ""Parameter"", ""entity"": ""453""}, {""start"": 71, ""end"": 71, ""type"": ""DESC"", ""entity"": "".""}]"
23,The duration from evt45 to eIUHN should be less than 87 hours.,"[{""start"": 0, ""end"": 17, ""type"": ""DESC"", ""entity"": ""The duration from""}, {""start"": 18, ""end"": 23, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""evt45""}, {""start"": 23, ""end"": 26, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 27, ""end"": 32, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""eIUHN""}, {""start"": 32, ""end"": 42, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 43, ""end"": 52, ""type"": ""DistltValue"", ""entity"": ""less than""}, {""start"": 53, ""end"": 55, ""type"": ""Parameter"", ""entity"": ""87""}, {""start"": 55, ""end"": 61, ""type"": ""DESC"", ""entity"": "" hours.""}]"
24,The measure of separation between bjtA and ectB should be less than 235 units.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 38, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""bjtA""}, {""start"": 38, ""end"": 42, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 43, ""end"": 47, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""ectB""}, {""start"": 47, ""end"": 57, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 58, ""end"": 67, ""type"": ""DistltValue"", ""entity"": ""less than""}, {""start"": 68, ""end"": 71, ""type"": ""Parameter"", ""entity"": ""235""}, {""start"": 71, ""end"": 77, ""type"": ""DESC"", ""entity"": "" units.""}]"
25,The length between stiionX and tinati must be less than 100 meters.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""stiionX""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 37, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""tinati""}, {""start"": 37, ""end"": 45, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 46, ""end"": 55, ""type"": ""DistltValue"", ""entity"": ""less than""}, {""start"": 56, ""end"": 59, ""type"": ""Parameter"", ""entity"": ""100""}, {""start"": 59, ""end"": 66, ""type"": ""DESC"", ""entity"": "" meters.""}]"
26,The gap between lso and p8Opp should be less than or equal to 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 19, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""lso""}, {""start"": 19, ""end"": 23, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 24, ""end"": 29, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""p8Opp""}, {""start"": 29, ""end"": 39, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 40, ""end"": 61, ""type"": ""DistleValue"", ""entity"": ""less than or equal to""}, {""start"": 62, ""end"": 64, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 64, ""end"": 64, ""type"": ""DESC"", ""entity"": "".""}]"
27,The measure of separation between FVV and Nkv8 must be less than or equal to 0.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 37, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""FVV""}, {""start"": 37, ""end"": 41, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 42, ""end"": 46, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""Nkv8""}, {""start"": 46, ""end"": 54, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 55, ""end"": 76, ""type"": ""DistleValue"", ""entity"": ""less than or equal to""}, {""start"": 77, ""end"": 78, ""type"": ""Parameter"", ""entity"": ""0""}, {""start"": 78, ""end"": 78, ""type"": ""DESC"", ""entity"": "".""}]"
28,The duration from CEjd to FKJ87 should be less than or equal to 7 hours.,"[{""start"": 0, ""end"": 17, ""type"": ""DESC"", ""entity"": ""The duration from""}, {""start"": 18, ""end"": 22, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""CEjd""}, {""start"": 22, ""end"": 25, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 26, ""end"": 31, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""FKJ87""}, {""start"": 31, ""end"": 41, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 42, ""end"": 63, ""type"": ""DistleValue"", ""entity"": ""less than or equal to""}, {""start"": 64, ""end"": 65, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 65, ""end"": 71, ""type"": ""DESC"", ""entity"": "" hours.""}]"
29,The measure of separation between Z3jA and cfct should be less than or equal to 5 units.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 38, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""Z3jA""}, {""start"": 38, ""end"": 42, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 43, ""end"": 47, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""cfct""}, {""start"": 47, ""end"": 57, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 58, ""end"": 79, ""type"": ""DistleValue"", ""entity"": ""less than or equal to""}, {""start"": 80, ""end"": 81, ""type"": ""Parameter"", ""entity"": ""5""}, {""start"": 81, ""end"": 87, ""type"": ""DESC"", ""entity"": "" units.""}]"
30,The length between de875onX and dssz must be less than or equal to 750 meters.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 27, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""de875onX""}, {""start"": 27, ""end"": 31, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 32, ""end"": 36, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""dssz""}, {""start"": 36, ""end"": 44, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 45, ""end"": 66, ""type"": ""DistleValue"", ""entity"": ""less than or equal to""}, {""start"": 67, ""end"": 70, ""type"": ""Parameter"", ""entity"": ""750""}, {""start"": 70, ""end"": 77, ""type"": ""DESC"", ""entity"": "" meters.""}]"
31,The gap between osonZ and JHNL87 should be greater than 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 21, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""osonZ""}, {""start"": 21, ""end"": 25, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 26, ""end"": 32, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""JHNL87""}, {""start"": 32, ""end"": 42, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 43, ""end"": 55, ""type"": ""DistgtValue"", ""entity"": ""greater than""}, {""start"": 56, ""end"": 58, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 58, ""end"": 58, ""type"": ""DESC"", ""entity"": "".""}]"
32,The measure of separation between OG7 and 76TG must be greater than 76.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 37, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""OG7""}, {""start"": 37, ""end"": 41, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 42, ""end"": 46, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""76TG""}, {""start"": 46, ""end"": 54, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 55, ""end"": 67, ""type"": ""DistgtValue"", ""entity"": ""greater than""}, {""start"": 68, ""end"": 70, ""type"": ""Parameter"", ""entity"": ""76""}, {""start"": 70, ""end"": 70, ""type"": ""DESC"", ""entity"": "".""}]"
33,The duration from v9YHJ to e67nt should exceed 7 hours.,"[{""start"": 0, ""end"": 17, ""type"": ""DESC"", ""entity"": ""The duration from""}, {""start"": 18, ""end"": 23, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""v9YHJ""}, {""start"": 23, ""end"": 26, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 27, ""end"": 32, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""e67nt""}, {""start"": 32, ""end"": 39, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 40, ""end"": 46, ""type"": ""DistgtValue"", ""entity"": ""exceed""}, {""start"": 47, ""end"": 48, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 48, ""end"": 54, ""type"": ""DESC"", ""entity"": "" hours.""}]"
34,The measure of separation between KJG09876 and G6GJ5G should be greater than 5 units.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 42, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""KJG09876""}, {""start"": 42, ""end"": 46, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 47, ""end"": 53, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""G6GJ5G""}, {""start"": 53, ""end"": 63, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 64, ""end"": 76, ""type"": ""DistgtValue"", ""entity"": ""greater than""}, {""start"": 77, ""end"": 78, ""type"": ""Parameter"", ""entity"": ""5""}, {""start"": 78, ""end"": 84, ""type"": ""DESC"", ""entity"": "" units.""}]"
35,The length between dPKJHFG and 999Jatio must be greater than 100 meters.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""dPKJHFG""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 39, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""999Jatio""}, {""start"": 39, ""end"": 47, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 48, ""end"": 60, ""type"": ""DistgtValue"", ""entity"": ""greater than""}, {""start"": 61, ""end"": 64, ""type"": ""Parameter"", ""entity"": ""100""}, {""start"": 64, ""end"": 71, ""type"": ""DESC"", ""entity"": "" meters.""}]"
